RestaurantName,RestaurantURL,CuisineType
Shmoozie's Hand-Crafted Ice Creams,https://www.zomato.com/chennai/shmoozies-hand-crafted-ice-creams-anna-nagar-east?zrp_bid=0&zrp_pid=14,"Ice Cream, Desserts"
Writer's Cafe,https://www.zomato.com/chennai/writers-cafe-taramani?zrp_bid=0&zrp_pid=14,"Fast Food, Pasta, European, Coffee, Beverages"
Sandy's Chocolate Laboratory,https://www.zomato.com/chennai/sandys-chocolate-laboratory-nungambakkam?zrp_bid=0&zrp_pid=14,"Continental, Cafe, Italian, Desserts, Shake"
Flower Drum,https://www.zomato.com/chennai/flower-drum-adyar?zrp_bid=0&zrp_pid=14,"Chinese, Thai, Sichuan"
Shree Mithai,https://www.zomato.com/chennai/shree-mithai-chetpet?zrp_bid=0&zrp_pid=14,"Sandwich, Street Food, Fast Food, Desserts, Beverages"
Bhangra,https://www.zomato.com/chennai/bhangra-kanathur?zrp_bid=0&zrp_pid=14,"North Indian, Mughlai"
Soy Soi,https://www.zomato.com/chennai/soy-soi-kotturpuram?zrp_bid=0&zrp_pid=14,"Chinese, Asian, Desserts, Beverages"
Subway,https://www.zomato.com/chennai/subway-anna-nagar-west?zrp_bid=0&zrp_pid=14,"Healthy Food, Fast Food, Sandwich, Salad, Beverages, Wraps"
Alchemy Bar & Lounge,https://www.zomato.com/chennai/alchemy-bar-lounge-alwarpet?zrp_bid=0&zrp_pid=14,"Continental, Finger Food, Seafood, Fast Food"
Absolute Thai,https://www.zomato.com/chennai/absolute-thai-alwarpet?zrp_bid=0&zrp_pid=14,"Thai, Asian"
Momo Sa-Khang By Kailash Kitchen,https://www.zomato.com/chennai/momo-sa-khang-by-kailash-kitchen-choolaimedu?zrp_bid=0&zrp_pid=14,"Momos, Chinese, Beverages"
Santé Spa Cuisine,https://www.zomato.com/chennai/santé-spa-cuisine-1-nungambakkam?zrp_bid=0&zrp_pid=14,"Italian, Continental, Healthy Food, Mediterranean, Fast Food, Shake"
Mamagoto,https://www.zomato.com/chennai/mamagoto-nungambakkam?zrp_bid=0&zrp_pid=14,"Asian, Chinese, Sushi, Thai"
Eating Circles,https://www.zomato.com/chennai/eating-circles-alwarpet?zrp_bid=0&zrp_pid=14,South Indian
Hamsa,https://www.zomato.com/chennai/hamsa-adyar?zrp_bid=0&zrp_pid=14,"North Indian, Desserts, Beverages"
Barbeque Nation,https://www.zomato.com/chennai/barbeque-nation-t-nagar?zrp_bid=0&zrp_pid=14,"BBQ, Kebab, North Indian, Desserts, Beverages"
Kappa Chakka Kandhari,https://www.zomato.com/chennai/kappa-chakka-kandhari-1-nungambakkam?zrp_bid=0&zrp_pid=14,"Kerala, South Indian, Biryani, Seafood, Beverages, Desserts"
Shri Rajasthani Dhaba,https://www.zomato.com/chennai/shri-rajasthani-dhaba-anna-nagar-west?zrp_bid=0&zrp_pid=14,"Rajasthani, North Indian, Desserts"
Toscano,https://www.zomato.com/chennai/toscano-nungambakkam?zrp_bid=0&zrp_pid=14,"Italian, Continental, Healthy Food, Desserts, Beverages, Shake"
Pan Asian - ITC Grand Chola,https://www.zomato.com/chennai/pan-asian-itc-grand-chola-guindy?zrp_bid=0&zrp_pid=14,"Japanese, Chinese, Vietnamese, Thai, Sushi"
Fromage,https://www.zomato.com/chennai/fromage-mrc-nagar?zrp_bid=0&zrp_pid=14,"Cafe, Italian, French, European, American, Beverages"
Dakshin - Crowne Plaza Chennai Adyar Park,https://www.zomato.com/chennai/dakshin-crowne-plaza-chennai-adyar-park-alwarpet?zrp_bid=0&zrp_pid=14,"South Indian, Kerala, Andhra, Fast Food"
Kakada Ramprasad,https://www.zomato.com/chennai/kakada-ramprasad-sowcarpet?zrp_bid=0&zrp_pid=14,"Mithai, Street Food, Chinese, North Indian, Fast Food"
Double Roti,https://www.zomato.com/chennai/double-roti-alwarpet?zrp_bid=0&zrp_pid=14,"Cafe, Sandwich, Pizza, Desserts, Burger, Pasta, Fast Food, Beverages"
Yaa Mohaideen Biryani,https://www.zomato.com/chennai/yaa-mohaideen-biryani-1-pallavaram?zrp_bid=0&zrp_pid=14,"Biryani, Chinese, Tamil, Beverages, Shake"
